Standard Stars G Band																										
#    	Image	Index 	Name  	Mag   	FWHM	Peak	Std?  	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Mag Std	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight	Notes      
83	ngc2158_30_hi_g-0001_stack_wcs.fits	92	Mira-92	13.3293	0.0721	0.0055	06h07m01.596s	"24°08'02.252"""	1543	1439	471.219	198.1	0	95801.1	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
84	ngc2158_30_hi_g-0001_stack_wcs.fits	93	Mira-93	14.644	0.0095	0.0122	06h06m51.152s	"24°06'02.921"""	1767.616	1268.878	455.01	89.3	0	28543.5	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
85	ngc2158_30_hi_g-0001_stack_wcs.fits	94	Mira-94	15.3051	0.013	0.0194	06h06m58.139s	"24°04'27.436"""	1629.322	1117.592	451.997	56.1	0	15526.7	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
86	ngc2158_30_hi_g-0001_stack_wcs.fits	95	Mira-95	14.5863	0.0091	0.0117	06h07m05.700s	"24°04'03.209"""	1474.236	1073.517	452.019	93	0	30102	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
87	ngc2158_30_hi_g-0001_stack_wcs.fits	96	Mira-96	14.4504	0.0088	0.0106	06h06m56.180s	"24°13'31.006"""	1632.718	1941.436	443.974	102	0	34115.7	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
88	ngc2158_30_hi_g-0001_stack_wcs.fits	97	Mira-97	13.566	0.0059	0.0062	06h06m50.841s	"24°14'19.012"""	1739.976	2019.301	446.987	174.4	0	77037.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
89	ngc2158_30_hi_g-0001_stack_wcs.fits	98	Mira-98	14.161	0.0075	0.0089	06h07m07.156s	"24°13'46.151"""	1404.414	1953.542	449.481	122.3	0	44534.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
90	ngc2158_30_hi_g-0001_stack_wcs.fits	99	Mira-99	13.5286	0.0058	0.0061	06h07m03.883s	"24°13'28.673"""	1473.359	1930.325	449.947	178	0	79738.9	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
91	ngc2158_30_hi_g-0001_stack_wcs.fits	100	Mira-100	15.1486	0.0122	0.0173	06h06m47.414s	"24°10'57.573"""	1824.808	1718.113	451.48	62.9	0	17933.4	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
92	ngc2158_30_hi_g-0001_stack_wcs.fits	101	Mira-101	14.87	0.0107	0.0143	06h06m43.389s	"24°08'50.387"""	1916.95	1529.803	464.082	76.1	0	23180.7	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
93	ngc2158_30_hi_g-0001_stack_wcs.fits	102	Mira-102	14.3916	0.0084	0.0103	06h06m51.856s	"24°07'34.406"""	1746.735	1406.51	458.989	105.3	0	36013.9	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
94	ngc2158_30_hi_g-0001_stack_wcs.fits	103	Mira-103	14.1263	0.0073	0.0087	06h07m42.520s	"24°09'27.172"""	689.315	1527.651	458.462	124.6	0	45983.5	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
#    	Image	Index 	Name  	Mag   	FWHM	Peak	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight			
95	ngc2158_30_hi_g-0001_stack_wcs.fits	104	Mira-104	15.2566	5.507	672.471	0.0126	0.0187	06h07m38.679s	"24°09'52.300"""	767.218	1569.336	450.969	58.2	0	16236.1	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
96	ngc2158_30_hi_g-0001_stack_wcs.fits	105	Mira-105	14.5057	5.685	1271.98	0.0088	0.0111	06h07m58.838s	"24°11'37.075"""	342.678	1708.526	466.461	97.4	0	32420.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1			
